,Dependents,tenure,OnlineSecurity,OnlineBackup,InternetService,DeviceProtection,TechSupport,Contract,PaperlessBilling,MonthlyCharges,Churn,DurationOfTenure
3906,No,70,Yes,Yes,DSL,Yes,Yes,Two year,No,86.45,No,> 3 Years
3907,No,1,Yes,Yes,DSL,No,No,Month-to-month,No,61.15,No,< 1 Year
3908,No,66,Yes,Yes,DSL,Yes,Yes,Two year,No,68.75,No,> 3 Years
3909,No,18,No,No,Fiber optic,Yes,No,Month-to-month,Yes,84.95,No,1 - 2 Years
3910,No,12,No,Yes,Fiber optic,No,No,Month-to-month,Yes,101.35,Yes,1 - 2 Years
3911,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,No,55.65,No,> 3 Years
3912,No,59,Yes,No,DSL,No,Yes,One year,Yes,69.1,No,> 3 Years
3913,No,13,No,No,Fiber optic,No,No,Month-to-month,Yes,95.25,Yes,1 - 2 Years
3914,No,41,No,Yes,DSL,No,No,One year,Yes,56.3,No,> 3 Years
3915,No,6,No,No,DSL,Yes,No,Month-to-month,No,60.9,No,< 1 Year
3916,No,46,Yes,No,Fiber optic,No,No,Month-to-month,No,85.0,Yes,> 3 Years
3917,No,7,No,No,DSL,No,No,Month-to-month,Yes,44.65,No,< 1 Year
3918,No,50,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,95.05,Yes,> 3 Years
3919,No,1,No,No,DSL,No,No,Month-to-month,Yes,45.85,No,< 1 Year
3920,No,13,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,84.45,Yes,1 - 2 Years
3921,No,72,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,108.05,No,> 3 Years
3922,Yes,13,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.55,No,1 - 2 Years
3923,Yes,60,Yes,Yes,DSL,Yes,Yes,One year,Yes,65.85,No,> 3 Years
3924,No,39,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.65,Yes,> 3 Years
3925,No,29,Yes,No,Fiber optic,Yes,No,One year,No,90.1,No,2 - 3 Years
3926,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,21.0,No,> 3 Years
3927,No,28,No,Yes,Fiber optic,No,Yes,One year,Yes,91.25,No,2 - 3 Years
3928,No,22,No,No,Fiber optic,No,No,Month-to-month,No,83.05,No,1 - 2 Years
3929,No,50,Yes,No,Fiber optic,Yes,No,Two year,Yes,105.05,No,> 3 Years
3930,No,38,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.25,No,> 3 Years
3931,Yes,33,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.15,No,2 - 3 Years
3932,Yes,21,Yes,No,DSL,Yes,No,One year,Yes,55.95,Yes,1 - 2 Years
3933,Yes,43,No,Yes,DSL,No,No,Month-to-month,No,29.3,No,> 3 Years
3934,No,71,Yes,No,Fiber optic,Yes,No,One year,Yes,104.1,No,> 3 Years
3935,No,1,Yes,No,Fiber optic,No,No,Month-to-month,Yes,81.7,Yes,< 1 Year
3936,Yes,41,No,Yes,Fiber optic,Yes,Yes,One year,Yes,109.1,No,> 3 Years
3937,Yes,15,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.65,No,1 - 2 Years
3938,No,70,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,114.95,No,> 3 Years
3939,No,3,No,No,DSL,No,No,Month-to-month,Yes,54.2,No,< 1 Year
3940,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,93.85,Yes,< 1 Year
3941,No,3,No,No,Fiber optic,No,No,Month-to-month,Yes,76.05,Yes,< 1 Year
3942,No,49,Yes,No,DSL,No,No,One year,Yes,55.35,No,> 3 Years
3943,Yes,34,No,No,DSL,No,Yes,Two year,Yes,40.55,No,2 - 3 Years
3944,Yes,32,Yes,Yes,Fiber optic,Yes,No,One year,No,94.8,No,2 - 3 Years
3945,No,4,Yes,Yes,DSL,No,No,Month-to-month,No,54.7,No,< 1 Year
3946,Yes,70,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.7,No,> 3 Years
3947,No,5,No,No,Fiber optic,No,No,Month-to-month,Yes,71.45,No,< 1 Year
3948,No,49,Yes,Yes,DSL,Yes,No,One year,No,71.8,No,> 3 Years
3949,Yes,2,No,Yes,DSL,No,No,Month-to-month,No,51.55,No,< 1 Year
3950,No,68,Yes,Yes,DSL,Yes,No,Two year,No,70.95,No,> 3 Years
3951,Yes,16,No,No,Fiber optic,Yes,No,Month-to-month,Yes,90.8,No,1 - 2 Years
3952,No,24,No,No,Fiber optic,Yes,No,Month-to-month,Yes,88.95,No,2 - 3 Years
3953,Yes,7,Yes,No,DSL,No,No,Month-to-month,No,50.7,No,< 1 Year
3954,No,1,No,No,Fiber optic,No,Yes,Month-to-month,Yes,84.8,Yes,< 1 Year
3955,No,31,Yes,Yes,DSL,Yes,Yes,Month-to-month,Yes,72.45,No,2 - 3 Years
3956,No,23,No,No,DSL,No,Yes,Month-to-month,Yes,73.65,No,1 - 2 Years
3957,No,5,Yes,No,DSL,No,Yes,Month-to-month,No,54.2,Yes,< 1 Year
3958,No,24,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.4,No,2 - 3 Years
3959,No,58,Yes,Yes,DSL,Yes,Yes,One year,Yes,71.1,No,> 3 Years
3960,Yes,56,Yes,Yes,Fiber optic,Yes,Yes,Two year,No,115.85,No,> 3 Years
3961,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,89.1,Yes,< 1 Year
3962,No,2,No,No,DSL,No,No,Month-to-month,Yes,44.7,Yes,< 1 Year
3963,No,52,No,No,DSL,Yes,Yes,Two year,Yes,80.95,No,> 3 Years
3964,No,11,No,No,DSL,No,No,Month-to-month,Yes,35.8,No,< 1 Year
3965,Yes,43,No,No,Fiber optic,Yes,No,Month-to-month,Yes,92.55,No,> 3 Years
3966,No,7,No,No,DSL,Yes,Yes,Month-to-month,No,62.8,No,< 1 Year
3967,Yes,38,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.25,Yes,> 3 Years
3968,No,6,No,No,DSL,No,Yes,Month-to-month,Yes,49.65,Yes,< 1 Year
3969,Yes,56,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.8,No,> 3 Years
3970,Yes,55,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.3,No,> 3 Years
3971,No,8,No,No,DSL,Yes,No,Month-to-month,Yes,29.4,Yes,< 1 Year
3972,No,36,No,Yes,Fiber optic,Yes,No,One year,Yes,104.8,No,2 - 3 Years
3973,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,76.45,Yes,< 1 Year
3974,No,30,No,No,Fiber optic,No,Yes,Month-to-month,Yes,101.5,No,2 - 3 Years
3975,No,11,No,No,Fiber optic,Yes,No,Month-to-month,Yes,99.55,Yes,< 1 Year
3976,Yes,4,No,Yes,Fiber optic,No,No,Month-to-month,Yes,101.7,Yes,< 1 Year
3977,Yes,72,Yes,Yes,DSL,Yes,No,Two year,Yes,70.65,No,> 3 Years
3978,Yes,67,Yes,No,Fiber optic,No,Yes,One year,Yes,94.35,Yes,> 3 Years
3979,Yes,54,Yes,No,DSL,Yes,Yes,Two year,No,69.95,No,> 3 Years
3980,Yes,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.0,No,< 1 Year
3981,No,4,No,No,Fiber optic,No,No,Month-to-month,Yes,74.35,Yes,< 1 Year
3982,No,42,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,99.45,Yes,> 3 Years
3983,No,23,No,Yes,Fiber optic,Yes,No,Month-to-month,No,84.25,No,1 - 2 Years
3984,No,10,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,21.2,No,< 1 Year
3985,No,10,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.1,No,< 1 Year
3986,Yes,53,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.4,No,> 3 Years
3987,No,26,No,No,DSL,No,Yes,Month-to-month,Yes,66.05,No,2 - 3 Years
3988,No,57,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,95.25,Yes,> 3 Years
3989,Yes,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,21.0,Yes,< 1 Year
3990,Yes,60,Yes,No,DSL,Yes,Yes,Two year,No,59.85,No,> 3 Years
3991,No,10,Yes,No,DSL,No,No,Month-to-month,No,29.75,No,< 1 Year
3992,No,25,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.2,No,2 - 3 Years
3993,No,4,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.7,No,< 1 Year
3994,No,44,No,No,Fiber optic,Yes,Yes,Month-to-month,No,104.15,No,> 3 Years
3995,No,22,Yes,No,Fiber optic,No,No,Month-to-month,Yes,100.75,Yes,1 - 2 Years
3996,Yes,30,No,No,DSL,Yes,Yes,One year,Yes,64.5,No,2 - 3 Years
3997,Yes,40,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.8,No,> 3 Years
3998,No,10,Yes,No,Fiber optic,No,No,Month-to-month,No,98.55,Yes,< 1 Year
3999,No,40,Yes,Yes,DSL,Yes,No,One year,Yes,42.35,Yes,> 3 Years
4000,No,43,Yes,Yes,DSL,No,Yes,Month-to-month,No,66.25,No,> 3 Years
4001,No,33,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,95.0,No,2 - 3 Years
4002,No,8,No,No,Fiber optic,No,No,Month-to-month,Yes,70.1,Yes,< 1 Year
4003,Yes,7,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.65,No,< 1 Year
4004,No,66,No,Yes,Fiber optic,No,No,One year,Yes,88.9,No,> 3 Years
4005,No,9,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,79.9,Yes,< 1 Year
4006,No,62,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,25.8,No,> 3 Years
4007,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,116.6,No,> 3 Years
4008,No,36,Yes,No,DSL,No,No,Two year,No,31.05,No,2 - 3 Years
4009,Yes,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,65.1,No,> 3 Years
4010,No,56,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,94.45,Yes,> 3 Years
4011,Yes,1,No,No,DSL,Yes,No,Month-to-month,No,50.45,Yes,< 1 Year
4012,No,37,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,101.9,Yes,> 3 Years
4013,No,51,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.45,No,> 3 Years
4014,Yes,48,Yes,Yes,DSL,Yes,No,Two year,Yes,70.1,No,> 3 Years
4015,No,31,Yes,No,DSL,Yes,Yes,Month-to-month,No,65.25,Yes,2 - 3 Years
4016,No,37,No,No,Fiber optic,No,No,Month-to-month,Yes,70.35,No,> 3 Years
4017,Yes,63,Yes,Yes,DSL,Yes,No,Two year,No,83.5,No,> 3 Years
4018,No,60,Yes,No,Fiber optic,No,Yes,Two year,Yes,97.2,No,> 3 Years
4019,No,24,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.75,No,2 - 3 Years
4020,No,16,No,Yes,Fiber optic,No,No,Month-to-month,Yes,86.25,No,1 - 2 Years
4021,No,28,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.7,Yes,2 - 3 Years
4022,No,69,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.25,No,> 3 Years
4023,Yes,52,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.35,No,> 3 Years
4024,No,64,No,Yes,Fiber optic,Yes,Yes,Two year,Yes,110.5,No,> 3 Years
4025,No,30,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.4,No,2 - 3 Years
4026,Yes,23,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,88.45,No,1 - 2 Years
4027,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,23.55,No,> 3 Years
4028,No,56,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.65,Yes,> 3 Years
4029,No,12,No,No,DSL,No,Yes,Month-to-month,No,50.25,Yes,1 - 2 Years
4030,No,7,Yes,Yes,DSL,Yes,No,Month-to-month,No,61.4,No,< 1 Year
4031,No,68,Yes,No,DSL,No,Yes,One year,No,55.9,No,> 3 Years
4032,Yes,8,No,No,DSL,No,Yes,Month-to-month,Yes,68.55,No,< 1 Year
4033,No,33,Yes,No,Fiber optic,Yes,Yes,One year,Yes,103.75,Yes,2 - 3 Years
4034,No,21,No,No,Fiber optic,No,No,Month-to-month,Yes,95.4,No,1 - 2 Years
4035,Yes,18,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.65,No,1 - 2 Years
4036,No,31,No,Yes,Fiber optic,No,No,Month-to-month,Yes,99.95,Yes,2 - 3 Years
4037,No,7,No,No,Fiber optic,No,No,Month-to-month,Yes,84.8,Yes,< 1 Year
4038,No,72,Yes,Yes,DSL,Yes,No,Two year,No,42.1,No,> 3 Years
4039,No,12,Yes,No,DSL,Yes,No,One year,No,78.85,No,1 - 2 Years
4040,No,63,No,Yes,Fiber optic,Yes,Yes,Month-to-month,Yes,108.75,No,> 3 Years
4041,No,56,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,25.95,No,> 3 Years
4042,No,33,Yes,Yes,DSL,Yes,No,Month-to-month,Yes,59.45,No,2 - 3 Years
4043,No,53,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.1,No,> 3 Years
4044,No,5,No,No,Fiber optic,Yes,No,Month-to-month,Yes,100.5,Yes,< 1 Year
4045,No,68,No,Yes,DSL,Yes,Yes,One year,Yes,60.65,No,> 3 Years
4046,No,24,No,No,Fiber optic,Yes,No,Month-to-month,Yes,79.65,No,2 - 3 Years
4047,Yes,56,Yes,Yes,DSL,Yes,No,Two year,Yes,61.3,No,> 3 Years
4048,No,50,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.85,No,> 3 Years
4049,No,67,Yes,Yes,DSL,No,Yes,Two year,Yes,69.2,No,> 3 Years
4050,No,25,No,No,Fiber optic,Yes,No,Month-to-month,Yes,74.6,No,2 - 3 Years
4051,Yes,54,Yes,No,DSL,No,Yes,Two year,No,60.0,No,> 3 Years
4052,No,30,Yes,Yes,DSL,No,Yes,One year,No,70.4,No,2 - 3 Years
4053,Yes,1,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.2,No,< 1 Year
4054,Yes,60,Yes,Yes,DSL,No,Yes,Month-to-month,Yes,79.05,No,> 3 Years
4055,No,14,No,Yes,Fiber optic,No,No,Month-to-month,Yes,78.95,Yes,1 - 2 Years
4056,Yes,56,No,No,Fiber optic,Yes,No,One year,Yes,99.8,No,> 3 Years
4057,No,27,No,No,Fiber optic,Yes,Yes,Month-to-month,Yes,89.2,No,2 - 3 Years
4058,Yes,60,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,103.75,No,> 3 Years
4059,Yes,36,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.2,No,2 - 3 Years
4060,No,54,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.1,No,> 3 Years
4061,No,1,No,No,Fiber optic,No,No,Month-to-month,Yes,71.55,Yes,< 1 Year
4062,No,1,No,No,DSL,No,No,Month-to-month,No,45.3,No,< 1 Year
4063,No,66,Yes,Yes,DSL,Yes,Yes,Two year,No,91.7,No,> 3 Years
4064,No,71,Yes,Yes,DSL,Yes,Yes,Two year,No,77.35,No,> 3 Years
4065,No,66,No,Yes,Fiber optic,Yes,No,One year,No,104.6,No,> 3 Years
4066,Yes,39,No internet service,No internet service,No,No internet service,No internet service,One year,No,25.45,No,> 3 Years
4067,No,37,No,No,DSL,No,No,Two year,No,35.8,No,> 3 Years
4068,No,51,No,No,Fiber optic,Yes,No,Month-to-month,Yes,97.8,Yes,> 3 Years
4069,No,9,No,No,Fiber optic,No,No,Month-to-month,Yes,85.5,No,< 1 Year
4070,Yes,29,No,Yes,DSL,Yes,No,Month-to-month,Yes,35.65,No,2 - 3 Years
4071,No,59,No,Yes,DSL,No,No,Month-to-month,Yes,41.05,Yes,> 3 Years
4072,No,6,Yes,Yes,DSL,No,No,Month-to-month,Yes,55.7,No,< 1 Year
4073,No,49,No,No,Fiber optic,Yes,Yes,Two year,No,100.65,No,> 3 Years
4074,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.8,No,> 3 Years
4075,No,50,No,No,DSL,Yes,Yes,Two year,No,69.5,No,> 3 Years
4076,Yes,56,Yes,Yes,DSL,No,Yes,One year,Yes,52.0,No,> 3 Years
4077,No,2,No,No,Fiber optic,No,No,Month-to-month,Yes,85.55,Yes,< 1 Year
4078,No,50,No internet service,No internet service,No,No internet service,No internet service,Two year,No,24.9,No,> 3 Years
4079,No,36,No,Yes,Fiber optic,No,No,Month-to-month,Yes,96.5,Yes,2 - 3 Years
4080,Yes,43,Yes,No,DSL,Yes,Yes,One year,Yes,60.4,No,> 3 Years
4081,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.2,No,< 1 Year
4082,Yes,52,No internet service,No internet service,No,No internet service,No internet service,Two year,No,25.75,No,> 3 Years
4083,Yes,66,No,No,DSL,Yes,Yes,Two year,No,54.65,No,> 3 Years
4084,No,1,No,No,Fiber optic,Yes,No,Month-to-month,No,76.35,Yes,< 1 Year
4085,No,24,Yes,No,DSL,No,No,One year,Yes,50.6,No,2 - 3 Years
4086,Yes,72,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.55,No,> 3 Years
4087,No,17,No,No,Fiber optic,No,No,Month-to-month,Yes,70.8,No,1 - 2 Years
4088,No,30,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,94.1,Yes,2 - 3 Years
4089,No,72,Yes,Yes,DSL,Yes,No,Two year,Yes,49.2,No,> 3 Years
4090,No,47,Yes,Yes,Fiber optic,No,Yes,Month-to-month,No,100.75,No,> 3 Years
4091,Yes,19,No,No,DSL,No,No,Month-to-month,No,50.1,No,1 - 2 Years
4092,No,2,Yes,No,Fiber optic,No,No,Month-to-month,No,90.75,No,< 1 Year
4093,No,58,Yes,No,DSL,No,Yes,One year,Yes,61.05,No,> 3 Years
4094,Yes,34,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,25.6,No,2 - 3 Years
4095,No,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.6,No,> 3 Years
4096,Yes,68,Yes,Yes,DSL,Yes,Yes,One year,Yes,78.45,No,> 3 Years
4097,Yes,1,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.35,No,< 1 Year
4098,No,35,Yes,Yes,Fiber optic,Yes,Yes,One year,Yes,110.8,No,2 - 3 Years
4099,No,20,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,18.9,No,1 - 2 Years
4100,No,38,Yes,No,Fiber optic,No,No,Month-to-month,No,91.7,No,> 3 Years
4101,Yes,46,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.95,No,> 3 Years
4102,Yes,60,Yes,Yes,Fiber optic,No,No,One year,No,94.15,No,> 3 Years
4103,No,57,No,No,Fiber optic,Yes,Yes,Two year,No,107.95,No,> 3 Years
4104,Yes,72,No,Yes,Fiber optic,Yes,Yes,Two year,No,90.45,No,> 3 Years
4105,No,57,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,104.5,Yes,> 3 Years
4106,No,18,Yes,No,Fiber optic,No,No,Month-to-month,No,74.8,No,1 - 2 Years
4107,Yes,18,No,No,Fiber optic,Yes,No,Month-to-month,No,95.15,Yes,1 - 2 Years
4108,No,15,Yes,No,Fiber optic,Yes,No,Month-to-month,Yes,96.5,No,1 - 2 Years
4109,Yes,3,No,Yes,Fiber optic,No,Yes,Month-to-month,Yes,80.0,No,< 1 Year
4110,No,60,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.15,No,> 3 Years
4111,No,2,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.05,No,< 1 Year
4112,Yes,6,No,Yes,DSL,Yes,No,Month-to-month,Yes,55.3,Yes,< 1 Year
4113,Yes,57,No,No,Fiber optic,No,No,Month-to-month,Yes,74.3,No,> 3 Years
4114,No,54,Yes,Yes,DSL,No,No,Two year,Yes,74.55,No,> 3 Years
4115,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.2,Yes,< 1 Year
4116,No,20,No,No,Fiber optic,Yes,No,Month-to-month,Yes,90.7,No,1 - 2 Years
4117,Yes,9,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.6,No,< 1 Year
4118,No,23,No,No,Fiber optic,Yes,No,Month-to-month,Yes,81.0,Yes,1 - 2 Years
4119,No,16,No,No,Fiber optic,No,No,Month-to-month,Yes,75.4,No,1 - 2 Years
4120,No,37,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.5,No,> 3 Years
4121,Yes,18,No,No,DSL,No,No,Month-to-month,Yes,35.0,Yes,1 - 2 Years
4122,No,15,No,Yes,DSL,No,No,Two year,Yes,38.8,No,1 - 2 Years
4123,No,72,Yes,Yes,Fiber optic,Yes,Yes,Two year,Yes,115.55,No,> 3 Years
4124,No,29,No internet service,No internet service,No,No internet service,No internet service,One year,No,20.0,No,2 - 3 Years
4125,No,30,No internet service,No internet service,No,No internet service,No internet service,One year,No,19.8,No,2 - 3 Years
4126,Yes,2,Yes,No,DSL,No,No,Month-to-month,No,56.7,Yes,< 1 Year
4127,Yes,33,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.45,No,2 - 3 Years
4128,No,60,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.85,No,> 3 Years
4129,No,66,No,No,Fiber optic,Yes,Yes,One year,Yes,102.85,No,> 3 Years
4130,No,70,Yes,Yes,DSL,Yes,Yes,Two year,No,64.95,No,> 3 Years
4131,Yes,62,No,No,Fiber optic,Yes,Yes,Two year,Yes,104.05,No,> 3 Years
4132,Yes,66,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.55,No,> 3 Years
4133,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,Yes,20.05,No,< 1 Year
4134,Yes,60,Yes,Yes,DSL,Yes,No,Two year,No,60.5,No,> 3 Years
4135,No,29,No internet service,No internet service,No,No internet service,No internet service,Two year,No,19.4,No,2 - 3 Years
4136,No,59,No,No,DSL,No,No,Month-to-month,Yes,44.3,No,> 3 Years
4137,No,36,Yes,No,DSL,Yes,No,One year,No,35.35,No,2 - 3 Years
4138,No,2,No,Yes,Fiber optic,No,No,Month-to-month,Yes,82.0,Yes,< 1 Year
4139,Yes,68,No,Yes,Fiber optic,Yes,No,Two year,Yes,84.4,No,> 3 Years
4140,No,59,No,Yes,Fiber optic,No,No,Month-to-month,No,101.1,Yes,> 3 Years
4141,Yes,17,Yes,No,DSL,No,Yes,One year,Yes,62.1,No,1 - 2 Years
4142,No,43,No,Yes,Fiber optic,No,No,Month-to-month,Yes,101.4,Yes,> 3 Years
4143,No,3,No,No,DSL,No,No,Month-to-month,No,25.3,Yes,< 1 Year
4144,No,72,Yes,Yes,DSL,Yes,Yes,Two year,Yes,90.25,No,> 3 Years
4145,No,11,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,20.35,No,< 1 Year
4146,Yes,8,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.45,No,< 1 Year
4147,No,55,Yes,Yes,DSL,Yes,No,Two year,No,58.6,No,> 3 Years
4148,Yes,38,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.6,No,> 3 Years
4149,Yes,39,No,No,DSL,Yes,Yes,One year,No,54.85,No,> 3 Years
4150,No,62,No,No,Fiber optic,Yes,Yes,Two year,Yes,107.6,No,> 3 Years
4151,Yes,3,Yes,No,DSL,No,Yes,Month-to-month,Yes,64.5,No,< 1 Year
4152,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,24.15,No,> 3 Years
4153,Yes,34,Yes,Yes,Fiber optic,No,No,One year,Yes,103.8,No,2 - 3 Years
4154,Yes,22,Yes,No,DSL,Yes,Yes,One year,Yes,67.5,Yes,1 - 2 Years
4155,No,9,No,No,DSL,No,No,Month-to-month,Yes,24.95,No,< 1 Year
4156,Yes,13,No,Yes,DSL,Yes,Yes,Month-to-month,Yes,72.8,No,1 - 2 Years
4157,No,61,No,Yes,Fiber optic,Yes,No,Month-to-month,Yes,105.55,Yes,> 3 Years
4158,Yes,58,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,19.55,No,> 3 Years
4159,No,54,Yes,No,DSL,No,Yes,Two year,No,45.2,No,> 3 Years
4160,No,56,No,No,DSL,No,No,Month-to-month,Yes,44.85,No,> 3 Years
4161,No,65,No,Yes,DSL,Yes,No,Two year,Yes,53.5,No,> 3 Years
4162,No,56,Yes,No,Fiber optic,No,No,One year,Yes,100.55,No,> 3 Years
4163,No,1,No,No,Fiber optic,No,No,Month-to-month,No,90.6,Yes,< 1 Year
4164,No,47,Yes,No,Fiber optic,No,No,Month-to-month,No,75.45,No,> 3 Years
4165,No,22,No,No,DSL,Yes,Yes,Two year,No,56.75,No,1 - 2 Years
4166,No,7,Yes,No,DSL,No,No,One year,Yes,59.1,No,< 1 Year
4167,No,10,Yes,No,Fiber optic,No,No,Month-to-month,Yes,98.7,Yes,< 1 Year
4168,No,53,No internet service,No internet service,No,No internet service,No internet service,One year,No,24.05,No,> 3 Years
4169,No,1,No internet service,No internet service,No,No internet service,No internet service,Month-to-month,No,19.75,No,< 1 Year
4170,No,65,Yes,Yes,Fiber optic,No,Yes,One year,Yes,100.15,No,> 3 Years
4171,No,16,No,No,Fiber optic,No,No,Month-to-month,Yes,73.85,Yes,1 - 2 Years
4172,Yes,35,Yes,Yes,DSL,No,No,One year,No,55.6,No,2 - 3 Years
4173,No,22,Yes,No,DSL,No,Yes,Month-to-month,Yes,54.2,Yes,1 - 2 Years
4174,No,20,No internet service,No internet service,No,No internet service,No internet service,One year,Yes,20.0,No,1 - 2 Years
4175,No,39,Yes,Yes,DSL,No,Yes,One year,No,41.15,No,> 3 Years
4176,No,3,No,No,DSL,No,No,Month-to-month,No,55.15,Yes,< 1 Year
4177,No,72,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,26.0,No,> 3 Years
4178,No,69,No,Yes,Fiber optic,No,Yes,One year,Yes,105.2,No,> 3 Years
4179,Yes,24,No internet service,No internet service,No,No internet service,No internet service,Two year,Yes,19.7,No,2 - 3 Years
4180,Yes,3,Yes,Yes,Fiber optic,No,No,Month-to-month,No,89.85,No,< 1 Year
4181,No,2,No,Yes,Fiber optic,Yes,No,Month-to-month,No,79.7,Yes,< 1 Year
4182,Yes,66,Yes,Yes,DSL,No,Yes,Two year,No,65.7,No,> 3 Years
4183,No,41,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.15,No,> 3 Years
4184,No,20,Yes,No,Fiber optic,No,No,Month-to-month,Yes,79.15,Yes,1 - 2 Years
4185,No,3,Yes,Yes,DSL,No,No,Month-to-month,No,55.35,Yes,< 1 Year
4186,No,6,No,No,Fiber optic,No,No,Month-to-month,No,89.3,Yes,< 1 Year
4187,No,68,Yes,Yes,DSL,Yes,Yes,Two year,Yes,88.15,No,> 3 Years
4188,No,28,No,No,Fiber optic,Yes,Yes,Month-to-month,No,91.0,No,2 - 3 Years
4189,No,67,Yes,Yes,DSL,No,Yes,One year,No,60.5,No,> 3 Years
4190,Yes,69,No internet service,No internet service,No,No internet service,No internet service,Two year,No,20.2,No,> 3 Years
4191,Yes,72,Yes,No,DSL,Yes,Yes,Two year,Yes,80.8,No,> 3 Years
4193,No,27,No,No,Fiber optic,No,No,Month-to-month,Yes,85.25,Yes,2 - 3 Years
